game_nr,object,fixed indices,context condition,message
61147,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
58759,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
61507,[ 9. 15. 10.],[1. 1. 1.],0,"[3, 12, 28, 0]"
11908,[ 9. 15. 10.],[1. 1. 1.],0,"[3, 12, 28, 0]"
36989,[ 9. 15. 10.],[1. 1. 1.],2,"[3, 12, 28, 0]"
36726,[ 9. 15. 10.],[1. 1. 1.],0,"[3, 12, 28, 0]"
2650,[ 9. 15. 10.],[1. 1. 1.],2,"[3, 12, 28, 0]"
17479,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
10367,[ 9. 15. 10.],[1. 1. 1.],0,"[3, 12, 28, 0]"
75297,[ 9. 15. 10.],[1. 1. 1.],2,"[3, 12, 28, 0]"
45785,[ 9. 15. 10.],[1. 1. 1.],2,"[3, 12, 28, 0]"
7816,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
61147,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
58759,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
11908,[ 9. 15. 10.],[1. 1. 1.],0,"[3, 12, 28, 0]"
10300,[ 9. 15. 10.],[1. 1. 1.],0,"[3, 12, 28, 0]"
68223,[ 9. 15. 10.],[1. 1. 1.],0,"[3, 12, 28, 0]"
7816,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
36483,[ 9. 15. 10.],[1. 1. 1.],1,"[3, 12, 28, 0]"
36341,[ 9. 15. 10.],[1. 1. 1.],2,"[3, 12, 28, 0]"
