game_nr,object,fixed indices,context condition,message
299,[0. 0. 1.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1732,[0. 0. 2.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1190,[0. 0. 1.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1255,[0. 0. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1674,[0. 3. 2.],[1. 0. 0.],0,"[2, 12, 12, 0]"
337,[0. 3. 2.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1674,[0. 0. 1.],[1. 0. 0.],0,"[2, 12, 12, 0]"
983,[0. 3. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
983,[0. 3. 3.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1255,[0. 3. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
299,[0. 2. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
299,[0. 2. 2.],[1. 0. 0.],0,"[2, 12, 12, 0]"
983,[0. 2. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1732,[0. 0. 1.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1674,[0. 0. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1212,[0. 3. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1732,[0. 2. 3.],[1. 0. 0.],0,"[2, 12, 12, 0]"
299,[0. 3. 3.],[1. 0. 0.],0,"[2, 12, 12, 0]"
299,[0. 3. 0.],[1. 0. 0.],0,"[2, 12, 12, 0]"
1732,[0. 2. 2.],[1. 0. 0.],0,"[2, 12, 12, 0]"
