game_nr,object,fixed indices,context condition,message
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
97,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
107,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
110,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
183,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
297,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
356,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
384,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
619,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
691,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
693,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1274,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1277,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1287,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1367,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1546,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1549,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1570,[3. 2. 3.],[1. 1. 1.],0,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1622,[3. 2. 3.],[1. 1. 1.],2,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
1656,[3. 2. 3.],[1. 1. 1.],1,"[13, 6, 6, 0]"
