game_nr,object,fixed indices,context condition,message
900,[0. 2. 3.],[1. 1. 1.],1,"[2, 10, 10, 0]"
1139,[0. 2. 3.],[1. 1. 1.],2,"[2, 2, 10, 0]"
1334,[0. 2. 3.],[1. 1. 1.],2,"[2, 10, 10, 0]"
1139,[0. 2. 3.],[1. 1. 1.],2,"[2, 2, 10, 0]"
1120,[0. 2. 3.],[1. 1. 1.],1,"[2, 2, 10, 0]"
930,[0. 2. 3.],[1. 1. 1.],1,"[2, 10, 10, 0]"
930,[0. 2. 3.],[1. 1. 1.],1,"[2, 10, 10, 0]"
1334,[0. 2. 3.],[1. 1. 1.],2,"[2, 10, 10, 0]"
777,[0. 2. 3.],[1. 1. 1.],1,"[2, 2, 10, 0]"
991,[0. 2. 3.],[1. 1. 1.],0,"[2, 10, 10, 0]"
1521,[0. 2. 3.],[1. 1. 1.],0,"[2, 2, 10, 0]"
1194,[0. 2. 3.],[1. 1. 1.],2,"[2, 2, 10, 0]"
451,[0. 2. 3.],[1. 1. 1.],1,"[2, 2, 10, 0]"
481,[0. 2. 3.],[1. 1. 1.],2,"[2, 2, 10, 0]"
481,[0. 2. 3.],[1. 1. 1.],2,"[2, 2, 10, 0]"
451,[0. 2. 3.],[1. 1. 1.],1,"[2, 2, 10, 0]"
900,[0. 2. 3.],[1. 1. 1.],1,"[2, 10, 10, 0]"
1700,[0. 2. 3.],[1. 1. 1.],1,"[2, 2, 10, 0]"
1159,[0. 2. 3.],[1. 1. 1.],0,"[2, 2, 10, 0]"
451,[0. 2. 3.],[1. 1. 1.],1,"[2, 2, 10, 0]"
