game_nr,object,fixed indices,context condition,message
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
19,[3. 2. 3.],[1. 1. 1.],0,"[15, 15, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
277,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
294,[3. 2. 3.],[1. 1. 1.],1,"[15, 2, 6, 0]"
343,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
343,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
343,[3. 2. 3.],[1. 1. 1.],2,"[15, 2, 10, 0]"
