game_nr;object;fixed indices;context condition;message
1576;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[11, 1, 11, 14, 0]
4828;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[11, 1, 11, 14, 0]
5282;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[11, 1, 11, 14, 0]
6411;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[11, 1, 11, 14, 0]
9513;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[11, 1, 11, 14, 0]
939;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
2602;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
4744;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
6415;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
7364;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
8153;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
10566;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
11484;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[11, 1, 11, 14, 0]
525;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[11, 1, 11, 14, 0]
5152;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[11, 1, 11, 14, 0]
5681;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[11, 1, 11, 14, 0]
7200;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[11, 1, 11, 14, 0]
9269;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[11, 1, 11, 14, 0]
10630;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[11, 1, 11, 14, 0]
11501;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[11, 1, 11, 14, 0]
496;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[11, 1, 11, 14, 0]
1234;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[11, 1, 11, 14, 0]
1346;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[11, 1, 11, 14, 0]
2236;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[11, 1, 11, 14, 0]
3822;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[11, 1, 11, 14, 0]
4746;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[11, 1, 11, 14, 0]
11690;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[11, 1, 11, 14, 0]
