game_nr;object;fixed indices;context condition;message
6167;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[6, 2, 10, 14, 0]
6425;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[6, 2, 10, 14, 0]
6734;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[6, 2, 10, 14, 0]
6942;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[6, 2, 10, 14, 0]
9815;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[6, 2, 10, 14, 0]
2253;[0. 0. 0. 3.];[1. 1. 1. 1.];0;[6, 2, 14, 10, 0]
2357;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[6, 2, 10, 14, 0]
2560;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[6, 2, 10, 14, 0]
3354;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[6, 2, 10, 14, 0]
6095;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[6, 2, 10, 14, 0]
7408;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[6, 2, 10, 14, 0]
9168;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[6, 2, 10, 14, 0]
11804;[0. 0. 0. 3.];[1. 1. 1. 1.];1;[6, 2, 14, 10, 0]
4180;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[6, 2, 10, 1, 0]
4048;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[6, 2, 10, 14, 0]
323;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[6, 2, 10, 5, 0]
3051;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[6, 2, 10, 5, 0]
7726;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[6, 2, 10, 5, 0]
9762;[0. 0. 0. 3.];[1. 1. 1. 1.];2;[6, 2, 10, 5, 0]
194;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
517;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
799;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
1367;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
5140;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
5378;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
6471;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
8005;[0. 0. 0. 3.];[1. 1. 1. 1.];3;[6, 2, 10, 5, 0]
