game_nr,object,fixed indices,context condition,message
80150,[4. 2. 0. 7.],[1. 1. 1. 1.],2,"[21, 12, 9, 17, 0]"
44465,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
132634,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
107715,[4. 2. 0. 7.],[1. 1. 1. 1.],1,"[21, 12, 9, 26, 0]"
40383,[4. 2. 0. 7.],[1. 1. 1. 1.],2,"[21, 12, 9, 26, 0]"
107054,[4. 2. 0. 7.],[1. 1. 1. 1.],3,"[21, 12, 9, 26, 0]"
80150,[4. 2. 0. 7.],[1. 1. 1. 1.],2,"[21, 12, 9, 17, 0]"
120776,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
121481,[4. 2. 0. 7.],[1. 1. 1. 1.],1,"[21, 12, 9, 26, 0]"
132634,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
48022,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
33170,[4. 2. 0. 7.],[1. 1. 1. 1.],2,"[21, 12, 9, 26, 0]"
48022,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
35565,[4. 2. 0. 7.],[1. 1. 1. 1.],1,"[21, 12, 9, 26, 0]"
107715,[4. 2. 0. 7.],[1. 1. 1. 1.],1,"[21, 12, 9, 26, 0]"
120776,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
33170,[4. 2. 0. 7.],[1. 1. 1. 1.],2,"[21, 12, 9, 26, 0]"
56111,[4. 2. 0. 7.],[1. 1. 1. 1.],2,"[21, 12, 9, 26, 0]"
107408,[4. 2. 0. 7.],[1. 1. 1. 1.],3,"[21, 12, 9, 26, 0]"
113159,[4. 2. 0. 7.],[1. 1. 1. 1.],0,"[21, 12, 9, 26, 0]"
