game_nr,object,fixed indices,context condition,message
83506,[7. 2. 0. 4.],[0. 0. 1. 1.],1,"[14, 23, 18, 24, 0]"
34119,[0. 3. 0. 4.],[0. 0. 1. 1.],1,"[23, 23, 18, 24, 0]"
51069,[6. 1. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
114925,[2. 3. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
110023,[1. 2. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
95887,[5. 6. 0. 4.],[0. 0. 1. 1.],1,"[14, 23, 18, 24, 0]"
110023,[0. 2. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
60911,[2. 3. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
69774,[4. 7. 0. 4.],[0. 0. 1. 1.],1,"[14, 23, 18, 24, 0]"
88131,[5. 0. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
51069,[5. 2. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
46927,[6. 4. 0. 4.],[0. 0. 1. 1.],1,"[23, 23, 18, 24, 0]"
110023,[1. 0. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
46927,[0. 0. 0. 4.],[0. 0. 1. 1.],1,"[23, 23, 18, 24, 0]"
114925,[7. 2. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
69774,[5. 0. 0. 4.],[0. 0. 1. 1.],1,"[14, 23, 18, 24, 0]"
103819,[1. 2. 0. 4.],[0. 0. 1. 1.],0,"[14, 23, 18, 24, 0]"
95887,[7. 4. 0. 4.],[0. 0. 1. 1.],1,"[14, 23, 18, 24, 0]"
38346,[5. 7. 0. 4.],[0. 0. 1. 1.],0,"[14, 23, 18, 24, 0]"
114925,[5. 0. 0. 4.],[0. 0. 1. 1.],0,"[23, 23, 18, 24, 0]"
