game_nr,object,fixed indices,context condition,message
2198,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],2,"[5, 4, 12, 7, 2, 0]"
58445,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[5, 4, 12, 7, 2, 0]"
2198,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],2,"[5, 4, 12, 7, 2, 0]"
70291,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],2,"[5, 4, 12, 7, 2, 0]"
58445,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[5, 4, 12, 7, 2, 0]"
65775,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[5, 4, 12, 7, 2, 0]"
13238,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[5, 4, 12, 7, 2, 0]"
12872,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[5, 4, 12, 7, 2, 0]"
69968,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[5, 4, 12, 7, 2, 0]"
28512,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[5, 4, 12, 7, 2, 0]"
10458,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],2,"[5, 4, 12, 7, 2, 0]"
29824,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[5, 4, 12, 7, 2, 0]"
8852,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],2,"[5, 4, 12, 7, 2, 0]"
40845,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[5, 4, 12, 7, 2, 0]"
40845,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[5, 4, 12, 7, 2, 0]"
35920,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],0,"[5, 4, 12, 7, 2, 0]"
60075,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],3,"[5, 4, 12, 7, 2, 0]"
65775,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],1,"[5, 4, 12, 7, 2, 0]"
57742,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],4,"[5, 4, 12, 7, 2, 0]"
8852,[3. 0. 2. 1. 3.],[1. 1. 1. 1. 1.],2,"[5, 4, 12, 7, 2, 0]"
