game_nr,object,fixed indices,context condition,message
23649,[2. 2. 1. 3. 1.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
17034,[2. 1. 1. 3. 0.],[1. 0. 1. 0. 0.],1,"[2, 7, 14, 14, 10, 0]"
34349,[2. 0. 1. 3. 3.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
23649,[2. 2. 1. 1. 2.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
33282,[2. 0. 1. 2. 2.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
51167,[2. 3. 1. 2. 3.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 10, 3, 0]"
51241,[2. 0. 1. 1. 1.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
40188,[2. 1. 1. 3. 1.],[1. 0. 1. 0. 0.],1,"[7, 7, 14, 14, 10, 0]"
23649,[2. 3. 1. 3. 2.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
68464,[2. 0. 1. 2. 2.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
34349,[2. 3. 1. 1. 3.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
50583,[2. 3. 1. 2. 3.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
34349,[2. 0. 1. 3. 2.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
68464,[2. 2. 1. 3. 2.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
41999,[2. 1. 1. 1. 3.],[1. 0. 1. 0. 0.],1,"[7, 7, 14, 14, 10, 0]"
33282,[2. 0. 1. 0. 3.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
68464,[2. 2. 1. 3. 3.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
50583,[2. 2. 1. 1. 0.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 14, 10, 0]"
51167,[2. 2. 1. 1. 2.],[1. 0. 1. 0. 0.],0,"[7, 7, 14, 10, 3, 0]"
28162,[2. 0. 1. 2. 1.],[1. 0. 1. 0. 0.],1,"[7, 7, 14, 14, 10, 0]"
